# NROWS=4000 NCOLS=4 PARSER=%d,%d,%d,%d
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.001001001001000979e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.002002002002001958e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,3.003003003003002936e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,4.004004004004003915e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.005005005005005233e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.006006006006005873e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.007007007007006513e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.008008008008007830e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.009009009009009148e-05,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.001001001001001047e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.101101101101101043e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.201201201201201175e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.301301301301301171e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.401401401401401303e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.501501501501501434e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.601601601601601566e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.701701701701701698e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.801801801801801830e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.901901901901901961e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.002002002002002093e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.102102102102101954e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.202202202202202086e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.302302302302302217e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.402402402402402349e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.502502502502502481e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.602602602602602342e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.702702702702702744e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.802802802802802605e-04,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.902902902902903008e-04,0.000000000000000000e+00,1.000000000000000000e+00
